spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
S1,1.5,5,0.086,-0.626,-3.73,0.499,14397.0
S1,1.5,15,0.103,-1.293,-4.6,0.499,14007.0
S1,1.5,30,0.027,-1.857,-4.55,0.498,13569.0
S1,1.5,60,0.24,-1.969,-3.36,0.504,12817.0
S1,1.5,120,0.023,-1.075,-1.4,0.499,11408.0
S1,2.0,5,0.178,-0.309,-1.49,0.499,9867.0
S1,2.0,15,-0.062,-0.762,-2.17,0.495,9662.0
S1,2.0,30,0.025,-0.491,-0.96,0.498,9471.0
S1,2.0,60,-0.017,0.699,1.01,0.496,9177.0
S1,2.0,120,0.219,2.645,3.08,0.5,8642.0
S1,2.5,5,0.205,0.221,0.71,0.496,6163.0
S1,2.5,15,0.436,1.143,2.28,0.509,6084.0
S1,2.5,30,0.677,2.403,3.59,0.512,6024.0
S1,2.5,60,0.854,3.869,4.63,0.517,5930.0
S1,2.5,120,0.903,5.095,5.12,0.507,5754.0
S1,3.0,5,0.601,1.022,2.07,0.502,3817.0
S1,3.0,15,0.762,2.277,3.3,0.519,3788.0
S1,3.0,30,1.785,4.616,5.69,0.528,3772.0
S1,3.0,60,1.666,5.572,5.7,0.517,3746.0
S1,3.0,120,2.372,6.305,5.31,0.515,3679.0
S2,1.5,5,0.148,-0.068,-0.66,0.501,14663.0
S2,1.5,15,-0.026,-0.669,-3.52,0.499,14117.0
S2,1.5,30,-0.056,-0.952,-3.39,0.498,13515.0
S2,1.5,60,-0.151,-1.297,-3.14,0.494,12523.0
S2,1.5,120,-0.214,-0.828,-1.49,0.493,10775.0
S2,2.0,5,0.051,-0.136,-0.92,0.5,9402.0
S2,2.0,15,-0.065,-0.455,-1.92,0.501,9091.0
S2,2.0,30,-0.106,-0.2,-0.58,0.501,8753.0
S2,2.0,60,-0.664,-0.072,-0.14,0.483,8269.0
S2,2.0,120,-0.353,1.319,2.11,0.488,7447.0
S2,2.5,5,0.236,0.481,2.07,0.503,5543.0
S2,2.5,15,-0.065,0.41,1.15,0.491,5384.0
S2,2.5,30,-0.251,0.746,1.61,0.492,5254.0
S2,2.5,60,-1.132,1.176,1.91,0.485,5063.0
S2,2.5,120,-1.074,2.375,3.14,0.47,4726.0
S2,3.0,5,0.357,0.869,2.84,0.506,3159.0
S2,3.0,15,0.172,1.523,3.23,0.492,3079.0
S2,3.0,30,-0.222,2.081,3.37,0.491,3030.0
S2,3.0,60,-1.136,2.341,2.91,0.472,2962.0
S2,3.0,120,-0.715,3.388,3.51,0.472,2841.0
S3,1.5,5,0.156,-0.622,-2.94,0.5,14184.0
S3,1.5,15,0.442,-1.031,-3.2,0.504,13812.0
S3,1.5,30,0.661,-1.487,-3.22,0.509,13406.0
S3,1.5,60,0.66,-1.611,-2.38,0.504,12722.0
S3,1.5,120,0.675,-0.687,-0.76,0.499,11370.0
S3,2.0,5,0.093,-0.467,-1.97,0.5,9715.0
S3,2.0,15,0.357,-0.644,-1.55,0.516,9523.0
S3,2.0,30,0.822,-0.209,-0.34,0.512,9357.0
S3,2.0,60,0.782,1.184,1.41,0.507,9076.0
S3,2.0,120,0.699,3.14,3.07,0.5,8536.0
S3,2.5,5,0.197,0.374,1.2,0.492,6084.0
S3,2.5,15,0.219,1.433,2.64,0.502,6009.0
S3,2.5,30,0.559,2.569,3.35,0.503,5945.0
S3,2.5,60,1.311,5.15,5.22,0.513,5850.0
S3,2.5,120,1.526,6.322,5.37,0.508,5646.0
S3,3.0,5,0.999,1.321,2.14,0.512,3680.0
S3,3.0,15,1.283,2.823,3.44,0.52,3656.0
S3,3.0,30,2.14,5.249,5.62,0.526,3636.0
S3,3.0,60,2.444,7.265,6.21,0.519,3609.0
S3,3.0,120,2.707,7.889,5.63,0.51,3533.0
